id	species	family	red_list	endemicity	range_size	ssi	is_natural	pc_b1	pc_b2	pc_b3	pc_c1	pc_c2	fam_id
1	Borbo_borbonica	Hesperiidae	0	0	1	75.8	1	0.36	0.45	-0.41	-2.85	-0.59	1
112	Carcharodus_alceae	Hesperiidae	0	0	615	24.5	0	1.53	0.36	-0.36	0.01	-0.36	1
2	Carcharodus_baeticus	Hesperiidae	0	1	56	92.8	1	0.72	0.6	-0.36	-0.46	-0.65	1
151	Carcharodus_flocciferus	Hesperiidae	1	0	277	30.7	1	-0.09	0.45	-0.45	0.16	0.12	1
152	Carcharodus_lavatherae	Hesperiidae	1	0	146	53	1	-0.3	0.31	-1.58	0.11	0.07	1
3	Carcharodus_orientalis	Hesperiidae	0	0	54	69.7	1	0.92	0.61	0.73	-0.31	-0.92	1
4	Carcharodus_stauderi	Hesperiidae	0	0	2	146.8	1	1.16	0.63	-0.31	-2.5	-0.74	1
153	Carterocephalus_palaemon	Hesperiidae	0	0	585	33	1	-0.17	0.8	-0.53	0.85	0.18	1
154	Carterocephalus_silvicolus	Hesperiidae	0	0	222	59.9	1	-0.31	1.03	-0.53	1.77	-0.48	1
113	Erynnis_marloyi	Hesperiidae	0	0	31	60.5	1	1.03	0.26	1.78	-0.47	-0.83	1
155	Erynnis_tages	Hesperiidae	0	0	842	22.9	0	0.23	0.82	-0.42	0.23	0.08	1
5	Gegenes_nostrodamus	Hesperiidae	0	0	65	100.1	1	0.31	-0.11	-0.46	-1.04	-0.9	1
6	Gegenes_pumilio	Hesperiidae	0	0	76	75.3	1	0.92	0.05	-0.35	-1.41	-0.32	1
156	Hesperia_comma	Hesperiidae	0	0	807	19.4	1	-1.18	-0.13	-0.51	0.5	-0.05	1
241	Heteropterus_morpheus	Hesperiidae	0	0	270	33.2	1	-0.28	-0.72	-0.45	0.51	-0.2	1
328	Muschampia_cribrellum	Hesperiidae	1	0	7	100.7	1	-1.46	0.13	0.57	0.9	-0.51	1
7	Muschampia_proto	Hesperiidae	0	0	88	54.9	1	-0.48	-0.53	0.59	-0.81	-0.78	1
329	Muschampia_tessellum	Hesperiidae	0	0	22	34.2	1	-0.97	0.01	-1.55	0.64	-1.27	1
157	Ochlodes_sylvanus	Hesperiidae	0	0	1058	18.9	0	0.04	-0.04	-1.03	0.46	0.01	1
8	Pelopidas_thrax	Hesperiidae	0	0	1			0.82	-0.89	-0.34	-2.12	-0.43	1
158	Pyrgus_alveus	Hesperiidae	0	0	476	43.3	1	-0.09	0.12	-1.64	0.63	0.11	1
54	Pyrgus_andromedae	Hesperiidae	0	1	83	92.4	1	-1.37	0.97	-0.56	0.14	1.97	1
159	Pyrgus_armoricanus	Hesperiidae	0	0	311	39.1	1	0.67	1.1	-0.97	-0.05	0	1
366	Pyrgus_bellieri	Hesperiidae	0	1	29	92.8	1	-1.2	0.94	0.53	-0.44	0.29	1
55	Pyrgus_cacaliae	Hesperiidae	0	1	55	164.7	1	-1.2	0.93	0.53	-0.44	2.23	1
56	Pyrgus_carlinae	Hesperiidae	0	1	30	44.3	1	-1.09	1.01	0.58	-0.39	1.54	1
160	Pyrgus_carthami	Hesperiidae	0	0	264	35	1	-0.19	0.68	-1.55	0.34	0.04	1
312	Pyrgus_centaureae	Hesperiidae	0	0	162	128	1	-1.08	0.76	1.63	2.5	0.19	1
330	Pyrgus_cinarae	Hesperiidae	0	0	14	37.6	1	-0.95	0.67	1.71	0.45	-1.09	1
161	Pyrgus_cirsii	Hesperiidae	1	1	94	46.8	1	-0.39	0.75	0.55	0.08	0.07	1
162	Pyrgus_malvae	Hesperiidae	0	0	959	16.2	1	0.11	1.24	-0.55	0.46	-0.08	1
367	Pyrgus_onopordi	Hesperiidae	0	0	105	47.4	1	-1.26	1.16	0.49	-0.66	0.29	1
163	Pyrgus_serratulae	Hesperiidae	0	0	318	45.8	1	-0.14	0.83	0.59	0.25	0.18	1
164	Pyrgus_sidae	Hesperiidae	0	0	77	26.7	1	-0.3	0.62	-1.5	0.15	-0.58	1
57	Pyrgus_warrenensis	Hesperiidae	0	1	29	303	1	-1.3	1.21	0.49	-0.61	2.64	1
