Nr,Species_in_Phylo,tip.label,Nr_all,Genus_species,Red_List,Red_List_01,Endemicity,Range_size,SSI,Natural,PC-B1,PC-B2,PC-B3,PC-C1,PC-C2
1,Aglais_io,Aglais_io,1,Aglais_io,LC,0,0,1136,13.67234848,0,2.17885869,-0.5537969,0.24473582,0.34410939,0.03510876
2,Aglais_urticae,Aglais_urticae,2,Aglais_urticae,LC,0,0,1271,12.73484848,0,2.69328277,-0.5094691,0.83290387,0.51004999,0.04549888
3,Agriades_aquilo,Agriades_aquilo,284,Plebejus_aquilo,LC,0,0,21,,,-1.4204434,1.5734854,-1.7072817,2.49886035,1.21300534
4,Anthocharis_cardamines,Anthocharis_cardamines,3,Anthocharis_cardamines,LC,0,0,1245,17.6875,0,0.85371237,-0.2075089,-0.4154357,0.46128678,0.03433293
5,Apatura_ilia,Apatura_ilia,7,Apatura_ilia,LC,0,0,528,60.84280303,1,0.61432678,-1.9247381,-0.2124409,0.50355506,-0.1280941
6,Apatura_iris,Apatura_iris,8,Apatura_iris,LC,0,0,571,61.05871212,0,-0.0045099,-1.9362636,-0.2960639,0.50476494,-0.046455
7,Apatura_metis,Apatura_metis,9,Apatura_metis,LC,0,0,47,49.56818182,0.5,1.09110663,-0.9782597,2.00843695,0.96633606,-1.1349949
8,Aphantopus_hyperantus,Aphantopus_hyperantus,10,Aphantopus_hyperantus,LC,0,0,1002,18.53030303,0,-0.2908649,-0.6720812,-0.3528636,0.63148002,0.01179473
9,Aporia_crataegi,Aporia_crataegi,11,Aporia_crataegi,LC,0,0,894,18.38257576,0,0.90657027,-0.6943363,-0.3450563,0.41137198,-0.1007506
10,Araschnia_levana,Araschnia_levana,12,Araschnia_levana,LC,0,0,626,24.1875,0,1.68650702,-0.79632,0.71293752,0.68474774,-0.2205913
11,Arethusana_arethusa,Arethusana_arethusa,14,Arethusana_arethusa,LC,0,0,229,63.40530303,1,-0.6298392,-0.4701918,-0.4135571,0.14270801,-0.2286566
12,Argynnis_adippe,Argynnis_adippe,15,Argynnis_adippe,LC,0,0,888,25.65530303,1,-0.1522377,-1.1844081,0.72668896,0.52044286,-0.042524
13,Argynnis_aglaja,Argynnis_aglaja,16,Argynnis_aglaja,LC,0,0,1132,18.90530303,1,-0.0780186,-1.2249472,0.720478,0.4261176,0.25747406
14,Argynnis_laodice,Argynnis_laodice,18,Argynnis_laodice,LC,0,0,100,21.53030303,1,1.28647714,-1.2765236,0.76422266,1.40666442,-0.6150117
