Nr,Species_in_Phylo,tip.label,Nr_all,Genus_species,Red_List,Red_List_01,Endemicity,Range_size,SSI,Natural,PC-B1,PC-B2,PC-B3,PC-C1,PC-C2
15,Argynnis_niobe,Argynnis_niobe,19,Argynnis_niobe,LC,0,0,646,18.59280303,1,-0.7498431,-1.1312889,0.77012506,0.4916799,-0.0251584
16,Argynnis_pandora,Argynnis_pandora,20,Argynnis_pandora,LC,0,0,320,22.85984848,1,0.69926602,-1.0491343,0.92154477,-0.1013443,-0.531514
17,Argynnis_paphia,Argynnis_paphia,21,Argynnis_paphia,LC,0,0,1024,33.75,1,0.05734058,-1.2133907,0.69968052,0.3453174,-0.0501466
18,Aricia_agestis,Aricia_agestis,22,Aricia_agestis,LC,0,0,700,23.34280303,0,0.91722874,1.79682607,-0.9007007,0.12423337,-0.151945
19,Aricia_artaxerxes,Aricia_artaxerxes,24,Aricia_artaxerxes,LC,0,0,435,24.53030303,1,-0.1542228,1.54111048,-1.5819632,0.73486272,0.32105698
20,Aricia_nicias,Aricia_nicias,29,Aricia_nicias,LC,0,0,78,40.53030303,1,-0.5103657,0.81618975,0.60314715,1.4325843,0.42305391
21,Boloria_aquilonaris,Boloria_aquilonaris,30,Boloria_aquilonaris,LC,0,0,478,68.3125,1,-0.8097212,0.17703988,-1.5209025,1.3856926,0.32343768
22,Boloria_chariclea,Boloria_chariclea,31,Boloria_chariclea,NT,1,0,22,53.03030303,1,-1.1786696,0.22224483,-1.5876342,3.23885482,0.38390206
23,Boloria_dia,Boloria_dia,32,Boloria_dia,LC,0,0,554,18.93371212,0,1.20738989,0.25206473,0.76240602,0.46487351,-0.0779415
24,Boloria_eunomia,Boloria_eunomia,33,Boloria_eunomia,LC,0,0,311,45.71780303,1,-0.8151725,0.44701571,-1.4960587,1.81372766,0.2228655
25,Boloria_euphrosyne,Boloria_euphrosyne,34,Boloria_euphrosyne,LC,0,0,963,22.83522727,1,0.22200164,0.04028059,-1.4759598,0.63616699,0.3180597
26,Boloria_freija,Boloria_freija,35,Boloria_freija,LC,0,0,144,74.25,1,-1.0529652,0.01933661,-1.0214694,2.57681087,0.06730035
27,Boloria_frigga,Boloria_frigga,36,Boloria_frigga,LC,0,0,145,115.530303,1,-0.8394013,-0.0705583,0.61469455,2.54576049,0.02201944
28,Boloria_graeca,Boloria_graeca,37,Boloria_graeca,LC,0,0,37,100.375,1,-0.487507,0.08276792,1.7451849,-0.0026176,-0.0287442
29,Boloria_improba,Boloria_improba,38,Boloria_improba,EN,1,0,6,53.03030303,1,-1.2169136,0.31027826,-1.6002103,2.73773702,0.8893578
30,Boloria_napaea,Boloria_napaea,39,Boloria_napaea,LC,0,0,112,142.155303,1,-1.1360762,0.17383345,-1.5830307,0.65572041,1.79971681
31,Boloria_pales,Boloria_pales,40,Boloria_pales,LC,0,0,101,190.6212121,1,-1.1507261,0.20377172,-1.5871313,-0.2977376,1.63517913
32,Boloria_polaris,Boloria_polaris,41,Boloria_polaris,VU,1,0,18,68.65530303,1,-1.2772383,0.18312829,-1.5696535,3.3196669,0.28107809
33,Boloria_selene,Boloria_selene,42,Boloria_selene,LC,0,0,998,19.125,1,0.6646516,0.05611775,0.77580257,0.6760594,0.2285413
34,Boloria_thore,Boloria_thore,43,Boloria_thore,LC,0,0,79,38.83522727,1,-0.970268,-0.1311038,0.62177922,0.7265354,1.89001364
35,Boloria_titania,Boloria_titania,44,Boloria_titania,NT,1,0,141,36.27272727,1,-1.1536349,0.23815769,-1.5933335,0.18562275,1.19410978
36,Brenthis_daphne,Brenthis_daphne,46,Brenthis_daphne,LC,0,0,323,21.53030303,1,-0.5750544,-1.2614496,0.68302394,0.11795788,-0.0698875
37,Brenthis_hecate,Brenthis_hecate,47,Brenthis_hecate,LC,0,0,190,31.6875,1,-0.7815497,-0.3879638,-0.4206972,0.31919283,-0.2681649
38,Brenthis_ino,Brenthis_ino,48,Brenthis_ino,LC,0,0,699,54.875,1,-0.671408,-0.8393281,-0.3598394,0.96106668,-0.0373843
39,Brintesia_circe,Brintesia_circe,49,Brintesia_circe,LC,0,0,416,37.39772727,1,0.02546495,-1.8916863,-0.2291649,-0.0236149,-0.1850465
40,Cacyreus_marshalli,Cacyreus_marshalli,50,Cacyreus_marshalli,NA,,,33,146.780303,0,3.36906822,1.66258836,-0.3485092,-0.670249,-0.7602571
41,Callophrys_rubi,Callophrys_rubi,52,Callophrys_rubi,LC,0,0,1192,15.21780303,0,0.49966449,1.0563217,-1.6674398,0.35408944,0.03914099
42,Carcharodus_alceae,Carcharodus_alceae,53,Carcharodus_alceae,LC,0,0,615,24.46780303,0,1.53093478,0.35814114,-0.3628983,0.00783324,-0.3625867
43,Carcharodus_lavatherae,Carcharodus_lavatherae,56,Carcharodus_lavatherae,NT,1,0,146,53.03030303,1,-0.2970426,0.31346475,-1.5804229,0.10549406,0.07307882
44,Carcharodus_orientalis,Carcharodus_orientalis,57,Carcharodus_orientalis,LC,0,0,54,69.71780303,1,0.91509242,0.61358367,0.73491242,-0.3098852,-0.9226868
45,Carterocephalus_palaemon,Carterocephalus_palaemon,59,Carterocephalus_palaemon,LC,0,0,585,33.02272727,1,-0.1661449,0.79849968,-0.5334872,0.85433302,0.17531725
46,Celastrina_argiolus,Celastrina_argiolus,61,Celastrina_argiolus,LC,0,0,1190,28.53030303,0,2.02436896,0.40484145,-1.2854771,0.30900178,-0.0852754
47,Chazara_briseis,Chazara_briseis,63,Chazara_briseis,NT,1,0,353,44.27840909,1,-0.2385969,-1.1954358,-0.332747,0.23318525,-0.2081607
48,Coenonympha_arcania,Coenonympha_arcania,66,Coenonympha_arcania,LC,0,0,736,23.96780303,1,-0.4785979,-0.5077615,-1.0023148,0.47764675,-0.1348199
49,Coenonympha_gardetta,Coenonympha_gardetta,69,Coenonympha_gardetta,LC,0,1,61,118.780303,1,-0.7116241,0.39238181,-0.4813704,-0.4964798,2.32410991
50,Coenonympha_glycerion,Coenonympha_glycerion,70,Coenonympha_glycerion,LC,0,0,574,29.65530303,1,-0.6402291,0.26816725,-1.0514846,0.83483907,-0.2106639
51,Coenonympha_hero,Coenonympha_hero,71,Coenonympha_hero,VU,1,0,173,39.875,1,-0.7378159,0.40915107,-0.4909509,0.87596814,-0.0727857
52,Coenonympha_leander,Coenonympha_leander,72,Coenonympha_leander,LC,0,0,27,60.15530303,1,-0.5906572,0.04271944,-0.4728854,0.53981716,-0.651226
53,Coenonympha_oedippus,Coenonympha_oedippus,73,Coenonympha_oedippus,EN,1,0,52,39.65530303,1,-0.7661008,0.36702952,-0.9335904,0.10572886,0.43350413
54,Coenonympha_pamphilus,Coenonympha_pamphilus,75,Coenonympha_pamphilus,LC,0,0,1371,12.38257576,0,0.63745844,0.63565468,-0.3564945,0.2537938,0.05647024
55,Coenonympha_rhodopensis,Coenonympha_rhodopensis,76,Coenonympha_rhodopensis,LC,0,1,39,99.21780303,1,-0.5830895,0.32870593,-1.5470835,0.18859606,-0.148829
56,Coenonympha_tullia,Coenonympha_tullia,78,Coenonympha_tullia,VU,1,0,553,46.78030303,1,-0.7382347,0.19516723,-1.5327796,0.76169424,0.37584837
57,Colias_alfacariensis,Colias_alfacariensis,79,Colias_alfacariensis,LC,0,0,494,27.61363636,0,0.5219037,0.01950412,-0.2624049,0.26653953,-0.0278013
58,Colias_chrysotheme,Colias_chrysotheme,82,Colias_chrysotheme,VU,1,0,36,119.375,1,0.23547406,0.38234455,-0.1773488,1.11366525,-0.9165599
59,Colias_erate,Colias_erate,84,Colias_erate,LC,0,0,138,28.94318182,0,2.03177123,-0.2265468,-0.1809544,1.08102997,-1.0287191
60,Colias_hecla,Colias_hecla,85,Colias_hecla,NT,1,0,24,60.49621212,1,-0.6500162,0.25440643,-1.5404088,2.80306328,0.95256054
61,Colias_hyale,Colias_hyale,86,Colias_hyale,LC,0,0,682,19.71780303,0,1.93516546,-0.1780185,-0.235147,0.75916999,-0.2350521
62,Colias_myrmidone,Colias_myrmidone,87,Colias_myrmidone,EN,1,0,94,54.96780303,1,0.5778011,0.21332941,-0.1637229,0.7829056,-0.2030751
63,Colias_palaeno,Colias_palaeno,88,Colias_palaeno,LC,0,0,417,47.09280303,1,-0.1695303,-0.2695458,0.7466459,1.54291554,0.38725884
64,Colias_phicomone,Colias_phicomone,89,Colias_phicomone,NT,1,1,83,237.030303,1,-0.1937595,-0.0727472,-0.3485059,-0.4164675,1.83502393
65,Colias_tyche,Colias_tyche,90,Colias_tyche,LC,0,0,6,,,-0.9412464,-0.0507166,-1.5066319,2.5045699,1.05720583
66,Cupido_alcetas,Cupido_alcetas,92,Cupido_alcetas,LC,0,0,146,20.8125,1,1.44626325,1.61816358,-0.3013967,0.0901822,0.01460931
67,Cupido_argiades,Cupido_argiades,93,Cupido_argiades,LC,0,0,478,18.67234848,0,1.59922449,1.56232776,-0.3072224,0.52954565,-0.190259
68,Cupido_decolorata,Cupido_decolorata,94,Cupido_decoloratus,NT,1,0,67,25.21022727,1,1.12345547,2.00060062,-0.3392292,1.05108489,-0.9095874
69,Cupido_minimus,Cupido_minimus,96,Cupido_minimus,LC,0,0,753,26.5625,1,0.06496265,2.30380734,-0.4232047,0.23201374,0.17881543
70,Cupido_osiris,Cupido_osiris,97,Cupido_osiris,LC,0,0,131,33.17234848,1,-0.0801334,1.28029662,-0.4428301,-0.0322493,-0.0887831
71,Cyaniris_semiargus,Cyaniris_semiargus,98,Cyaniris_semiargus,LC,0,0,930,37.21780303,0,0.19314934,1.12182834,-0.4916162,0.69175749,-0.0351093
72,Erebia_aethiopellus,Erebia_aethiopellus,101,Erebia_aethiopella,LC,0,1,10,92.8125,1,-0.3929913,-0.3718919,1.74408269,-0.6236646,1.47680566
73,Erebia_aethiops,Erebia_aethiops,102,Erebia_aethiops,LC,0,0,326,33.8125,1,-0.2937981,-1.2387908,-0.942701,-0.035449,0.84335057
74,Erebia_alberganus,Erebia_alberganus,103,Erebia_alberganus,LC,0,1,65,92.8125,1,-0.4261959,-0.8369706,-0.4105013,-0.3862461,1.76290348
75,Erebia_cassioides,Erebia_cassioides,105,Erebia_cassioides,LC,0,1,65,124.217803,1,-0.5739252,-0.5252514,1.72248588,-0.2676331,1.14313576
76,Erebia_disa,Erebia_disa,108,Erebia_disa,LC,0,0,36,60.49621212,1,-0.998059,-1.0790039,0.62738673,3.20803699,0.31918184
77,Erebia_embla,Erebia_embla,109,Erebia_embla,LC,0,0,123,73,1,-1.1008704,-0.9026491,-1.5598199,2.7175123,-0.1587734
78,Erebia_epiphron,Erebia_epiphron,110,Erebia_epiphron,LC,0,1,137,130.2727273,1,-0.5218227,-0.1666513,-0.4238461,-0.4394465,1.51067561
79,Erebia_eriphyle,Erebia_eriphyle,112,Erebia_eriphyle,LC,0,1,34,303.030303,1,-1.2291819,0.00399398,-0.532018,-0.6586401,2.95964696
80,Erebia_euryale,Erebia_euryale,113,Erebia_euryale,LC,0,0,203,73.40530303,1,-1.0433774,-0.8263873,-1.5612256,0.0657255,0.90821419
81,Erebia_gorge,Erebia_gorge,115,Erebia_gorge,LC,0,1,92,101.0587121,1,-1.1928162,-0.4098059,-0.5197473,-0.2558118,1.59492851
82,Erebia_ligea,Erebia_ligea,119,Erebia_ligea,LC,0,0,564,56.30871212,1,-1.0293065,-0.8249765,-1.5998403,0.85447406,0.59515685
83,Erebia_manto,Erebia_manto,120,Erebia_manto,LC,0,1,89,147.375,1,-1.1723408,-0.4508588,-1.5705659,-0.305133,1.88656917
84,Erebia_medusa,Erebia_medusa,121,Erebia_medusa,LC,0,0,361,27.62121212,1,-0.2865346,-0.4215221,-0.4669008,0.45028724,0.18051139
85,Erebia_melampus,Erebia_melampus,122,Erebia_melampus,LC,0,1,56,148.6837121,1,-0.6509546,-0.2830351,-0.4913376,-0.5629152,2.45801118
86,Erebia_melas,Erebia_melas,123,Erebia_melas,LC,0,1,31,65.53030303,1,-0.366969,-1.338708,1.76106263,0.03403415,-0.3090041
87,Erebia_meolans,Erebia_meolans,124,Erebia_meolans,LC,0,1,139,102.780303,1,-0.2511229,-1.1003432,-0.3991189,-0.2497376,0.86125954
88,Erebia_mnestra,Erebia_mnestra,125,Erebia_mnestra,LC,0,1,22,303.030303,1,-1.2696074,-0.4981856,-0.535936,-0.4394515,2.36517892
89,Erebia_neoridas,Erebia_neoridas,127,Erebia_neoridas,LC,0,1,48,92.8125,1,-0.5983037,-0.6985937,-0.4241445,-0.3423166,0.46979518
90,Erebia_nivalis,Erebia_nivalis,128,Erebia_nivalis,LC,0,1,14,92.8125,1,-1.2016828,-0.5428166,1.6300576,-0.7731971,3.4583228
91,Erebia_oeme,Erebia_oeme,129,Erebia_oeme,LC,0,1,89,127.75,1,-1.0297477,-0.7658564,-1.5749421,-0.1497588,1.39428721
92,Erebia_ottomana,Erebia_ottomana,131,Erebia_ottomana,LC,0,0,42,55,1,-0.4429798,-0.5421434,0.6551385,0.27400764,-0.2842904
93,Erebia_pandrose,Erebia_pandrose,133,Erebia_pandrose,LC,0,0,194,141.842803,1,-1.1685264,-0.6392761,-0.5200473,0.70046988,1.6093421
94,Erebia_pharte,Erebia_pharte,134,Erebia_pharte,LC,0,1,59,237.030303,1,-1.3048554,-0.4502894,-1.6236411,-0.4499981,2.42322292
95,Erebia_pluto,Erebia_pluto,135,Erebia_pluto,LC,0,1,51,103.030303,1,-1.06591,-0.9703599,-0.4683302,-0.4840788,2.14464643
96,Erebia_polaris,Erebia_polaris,136,Erebia_polaris,LC,0,0,16,303.030303,1,-1.3440812,-0.6883042,-0.4919329,3.35630374,0.3132564
97,Erebia_pronoe,Erebia_pronoe,137,Erebia_pronoe,LC,0,1,81,88.80871212,1,-0.5806178,-1.0552139,0.69297624,-0.2011447,1.69935406
98,Erebia_styx,Erebia_styx,142,Erebia_styx,LC,0,1,25,92.8125,1,-0.4963759,-1.2699208,0.72461694,-0.5190927,2.24400344
99,Erebia_sudetica,Erebia_sudetica,143,Erebia_sudetica,VU,1,1,13,68.875,1,-0.6799549,-0.0811449,1.63834842,0.14719669,1.37563267
100,Erebia_tyndarus,Erebia_tyndarus,145,Erebia_tyndarus,LC,0,1,25,75.85416667,1,-0.7483554,-0.4120555,-0.4748697,-0.5581961,2.66514138
101,Erynnis_tages,Erynnis_tages,148,Erynnis_tages,LC,0,0,842,22.88257576,0,0.2311364,0.81975182,-0.4214845,0.23402229,0.08216052
102,Euchloe_ausonia,Euchloe_ausonia,149,Euchloe_ausonia,LC,0,0,352,54.82954545,0.5,1.59947004,-0.5332074,-0.2936619,-0.6569746,-0.5616015
103,Euchloe_simplonia,Euchloe_simplonia,155,Euchloe_simplonia,LC,0,1,32,27.27272727,1,0.17161666,0.30364521,-0.3928789,-0.4404128,1.58238255
104,Euchloe_tagis,Euchloe_tagis,156,Euchloe_tagis,LC,0,0,56,37.62121212,1,0.24124289,0.80838882,0.69071538,-0.7045886,-0.6489653
105,Euphydryas_aurinia,Euphydryas_aurinia,157,Euphydryas_aurinia,LC,0,0,538,36.40530303,1,-1.0208742,0.01758462,-1.6065686,-0.127011,0.36344765
106,Euphydryas_cynthia,Euphydryas_cynthia,158,Euphydryas_cynthia,LC,0,1,58,29.73484848,1,-0.9846436,0.04403151,-1.5872022,-0.4403893,2.21838512
107,Euphydryas_iduna,Euphydryas_iduna,160,Euphydryas_iduna,NT,1,0,24,60.49621212,1,-1.3580733,-0.0233841,-0.4703925,3.00867705,0.60373491
108,Euphydryas_maturna,Euphydryas_maturna,162,Euphydryas_maturna,VU,1,0,210,62.55871212,1,-0.9590201,0.17905057,-1.5815694,1.11085399,-0.2819078
109,Favonius_quercus,Favonius_quercus,163,Favonius_quercus,LC,0,0,777,97.74621212,0,-0.5651283,0.10832979,0.59386855,0.16686817,-0.0368631
110,Gegenes_nostrodamus,Gegenes_nostrodamus,164,Gegenes_nostrodamus,LC,0,0,65,100.1212121,1,0.31088029,-0.1070045,-0.4565241,-1.0435828,-0.9011324
111,Glaucopsyche_alexis,Glaucopsyche_alexis,166,Glaucopsyche_alexis,LC,0,0,609,25.77272727,1,0.20703953,0.95165981,-0.4773907,0.37048509,-0.1768002
112,Gonepteryx_cleopatra,Gonepteryx_cleopatra,168,Gonepteryx_cleopatra,LC,0,0,303,25.09090909,0,1.44014048,-0.3395907,0.82184312,-0.8352421,-0.5623566
113,Gonepteryx_rhamni,Gonepteryx_rhamni,170,Gonepteryx_rhamni,LC,0,0,1177,14.46022727,0,1.41390689,-1.1725353,0.78482722,0.40264138,-0.0555451
114,Hamearis_lucina,Hamearis_lucina,171,Hamearis_lucina,LC,0,0,497,35.37121212,1,0.01505439,0.30692379,0.61058818,0.33616381,0.06698867
115,Hesperia_comma,Hesperia_comma,172,Hesperia_comma,LC,0,0,807,19.37121212,1,-1.1837906,-0.1320972,-0.5102846,0.49519835,-0.0545329
116,Heteropterus_morpheus,Heteropterus_morpheus,173,Heteropterus_morpheus,LC,0,0,270,33.23484848,1,-0.2846356,-0.7175496,-0.4452667,0.51298887,-0.1994451
117,Hipparchia_fagi,Hipparchia_fagi,178,Hipparchia_fagi,NT,1,1,309,29.60984848,1,-0.0217285,-1.8551328,-0.3117638,0.07545878,0.01686541
118,Hipparchia_hermione,Hipparchia_hermione,181,Hipparchia_hermione,NT,1,0,237,,,0.0196149,-1.5787227,-0.306735,-0.0793382,-0.0371414
119,Hipparchia_semele,Hipparchia_semele,186,Hipparchia_semele,LC,0,1,814,20.37121212,1,0.18212619,-0.8708002,-0.3599221,0.09523851,0.12695946
120,Hipparchia_senthes,Hipparchia_senthes,187,Hipparchia_senthes,LC,0,0,56,,,-0.1430919,-1.3048014,1.82364385,-0.3907225,-1.1132873
121,Hipparchia_statilinus,Hipparchia_statilinus,188,Hipparchia_statilinus,NT,1,0,360,26.46022727,1,-0.5949476,-0.6280047,-0.3821999,-0.2271636,-0.3096144
122,Hipparchia_syriaca,Hipparchia_syriaca,189,Hipparchia_syriaca,LC,0,0,54,87.03030303,1,0.16016661,-1.5630265,-0.3247811,-0.5061357,-0.509912
123,Hipparchia_volgensis,Hipparchia_volgensis,190,Hipparchia_volgensis,LC,0,1,42,43.15530303,1,-0.1805656,-1.2330458,1.81406889,-0.006524,-0.6306913
124,Hyponephele_lycaon,Hyponephele_lycaon,192,Hyponephele_lycaon,LC,0,0,365,34.68371212,1,-0.1580436,-0.315882,-0.4457898,0.49699763,-0.3086838
125,Iphiclides_podalirius,Iphiclides_podalirius,194,Iphiclides_podalirius,LC,0,0,755,14.29734848,0,0.86458202,-2.1890871,-0.2914861,-0.0177914,-0.1636576
126,Issoria_lathonia,Issoria_lathonia,195,Issoria_lathonia,LC,0,0,976,13.92234848,0,1.7265773,0.36278079,0.8403381,0.40447653,-0.2443867
127,Kirinia_roxelana,Kirinia_roxelana,197,Kirinia_roxelana,LC,0,0,86,124.467803,0.5,-0.3059094,-0.5257851,-0.3409548,-0.1914391,-0.8734909
128,Lampides_boeticus,Lampides_boeticus,199,Lampides_boeticus,LC,0,0,361,19.69507576,0,3.48117091,1.01639726,-0.2381146,-0.7028725,-0.2043494
129,Lasiommata_maera,Lasiommata_maera,200,Lasiommata_maera,LC,0,0,888,15.40530303,0,0.02430197,-0.918741,-0.8977453,0.40644217,0.07136768
130,Lasiommata_megera,Lasiommata_megera,201,Lasiommata_megera,LC,0,0,1053,12.05871212,0,0.99284306,-0.5811435,-0.2625878,-0.0137828,-0.1369858
131,Lasiommata_petropolitana,Lasiommata_petropolitana,203,Lasiommata_petropolitana,LC,0,0,352,50.03030303,1,0.26401295,-0.4565686,-0.4456245,1.08308626,0.48917773
132,Leptidea_morsei,Leptidea_morsei,205,Leptidea_morsei,NT,1,0,49,59.28030303,1,1.18463748,-0.0431941,0.81281624,0.72534593,-0.1592159
133,Leptidea_sinapis,Leptidea_sinapis,206,Leptidea_sinapis,LC,0,0,1089,12.10984848,0,0.950084,0.68783989,-0.2820827,0.33659742,-0.0717291
134,Leptotes_pirithous,Leptotes_pirithous,207,Leptotes_pirithous,LC,0,0,287,23.08522727,0,3.34293182,1.59684763,-1.4156636,-0.7033918,-0.1920958
135,Libythea_celtis,Libythea_celtis,208,Libythea_celtis,LC,0,0,181,25.74621212,0,1.19385019,-0.7794288,0.75497222,-0.4173569,-0.2005
136,Limenitis_camilla,Limenitis_camilla,209,Limenitis_camilla,LC,0,0,526,107.7462121,1,0.01541856,-1.3038434,-0.3282471,0.2819394,0.15597174
137,Limenitis_populi,Limenitis_populi,210,Limenitis_populi,LC,0,0,529,77.84280303,1,-0.0103461,-2.1796647,0.77381421,0.78757012,0.01325906
138,Limenitis_reducta,Limenitis_reducta,211,Limenitis_reducta,LC,0,0,410,55.24621212,1,0.68006957,-0.8259003,0.80626662,-0.3327339,0.21689713
139,Lopinga_achine,Lopinga_achine,212,Lopinga_achine,VU,1,0,275,88.49621212,1,-0.9561524,-0.7242977,-0.9691379,0.61336606,0.12123488
140,Lycaena_alciphron,Lycaena_alciphron,213,Lycaena_alciphron,LC,0,0,519,29.49621212,1,0.20525988,0.26110873,0.63156047,0.30239715,-0.1836228
141,Lycaena_dispar,Lycaena_dispar,214,Lycaena_dispar,LC,0,0,383,30.62121212,1,0.27219869,0.28210164,0.66927362,0.8415603,-0.5232694
142,Lycaena_helle,Lycaena_helle,215,Lycaena_helle,EN,1,0,148,47.96780303,1,0.20488743,1.37555921,-0.4683321,1.30197355,0.28069309
143,Lycaena_hippothoe,Lycaena_hippothoe,216,Lycaena_hippothoe,LC,0,0,689,46.83522727,1,0.00887999,0.75767042,-0.4749929,0.94463799,0.09211953
144,Lycaena_phlaeas,Lycaena_phlaeas,218,Lycaena_phlaeas,LC,0,0,1340,13.10984848,0,1.11577302,1.28482421,0.73639894,0.15442544,0.03546979
145,Lycaena_thersamon,Lycaena_thersamon,219,Lycaena_thersamon,LC,0,0,199,21.96590909,0,0.84670369,1.04098729,-1.4092453,0.56403791,-0.7931498
146,Lycaena_tityrus,Lycaena_tityrus,221,Lycaena_tityrus,LC,0,0,673,14.32954545,1,0.62908955,0.95996198,0.77174409,0.32968984,-0.0704757
147,Lycaena_virgaureae,Lycaena_virgaureae,222,Lycaena_virgaureae,LC,0,0,756,21.83522727,1,-0.4050586,-0.1230867,0.60437489,0.82560581,-0.0509324
148,Maniola_jurtina,Maniola_jurtina,224,Maniola_jurtina,LC,0,0,1289,13.21780303,0,0.2575076,0.15038701,-0.3866099,0.02215298,-0.0043159
149,Melanargia_galathea,Melanargia_galathea,229,Melanargia_galathea,LC,0,0,802,28.34280303,1,0.07190219,-1.2427476,-0.3986323,0.31269979,-0.0864253
150,Melitaea_asteria,Melitaea_asteria,238,Melitaea_asteria,LC,0,1,15,303.030303,1,-1.1499888,0.7501862,1.62284433,-0.8345589,3.33761328
151,Melitaea_athalia,Melitaea_athalia,239,Melitaea_athalia,LC,0,0,1011,24.93371212,1,-0.8341109,0.28491465,-1.6150197,0.71346825,-0.1848508
152,Melitaea_aurelia,Melitaea_aurelia,240,Melitaea_aurelia,NT,1,0,268,52.3125,1,-0.2914802,1.22134397,-1.540909,0.4635347,0.17733045
153,Melitaea_britomartis,Melitaea_britomartis,241,Melitaea_britomartis,NT,1,0,99,52.93371212,1,-0.4630095,0.59329984,-0.4421177,0.83099034,-0.434831
154,Melitaea_cinxia,Melitaea_cinxia,242,Melitaea_cinxia,LC,0,0,673,28.875,1,-0.2724579,0.46895459,-0.9494076,0.32853085,-0.218436
155,Melitaea_diamina,Melitaea_diamina,244,Melitaea_diamina,LC,0,0,461,35.14772727,1,-1.0392277,0.7010581,-1.5654912,0.50323832,0.1827645
156,Melitaea_didyma,Melitaea_didyma,245,Melitaea_didyma,LC,0,0,621,33.21022727,1,-0.2328421,0.00365604,-1.5213784,0.16842514,-0.1584601
157,Melitaea_parthenoides,Melitaea_parthenoides,246,Melitaea_parthenoides,LC,0,1,172,51.65530303,1,0.10496544,0.83381518,-1.4208442,-0.1851848,0.1250942
158,Melitaea_phoebe,Melitaea_phoebe,247,Melitaea_phoebe,LC,0,0,521,30.96022727,0,-0.0659141,0.14653096,-1.4336074,-0.0436896,-0.0903712
159,Melitaea_trivia,Melitaea_trivia,248,Melitaea_trivia,LC,0,0,260,54.0625,1,0.06383271,0.71909636,0.75170307,0.19362857,-0.3907118
160,Melitaea_varia,Melitaea_varia,249,Melitaea_varia,LC,0,1,41,303.030303,1,-1.3408208,-0.2581557,-1.6369756,-0.4129922,1.66909961
161,Minois_dryas,Minois_dryas,250,Minois_dryas,LC,0,0,48,23.9375,1,-0.5861196,-1.6901997,-0.3033948,0.46485518,-0.0432211
162,Muschampia_cribrellum,Muschampia_cribrellum,251,Muschampia_cribrellum,NT,1,0,7,100.6837121,1,-1.4568647,0.13459004,0.56625938,0.89641207,-0.5077569
163,Muschampia_tessellum,Muschampia_tessellum,253,Muschampia_tessellum,LC,0,0,22,34.21022727,1,-0.9653006,0.00674372,-1.5533816,0.64466907,-1.2708928
164,Neptis_rivularis,Neptis_rivularis,254,Neptis_rivularis,LC,0,0,150,66.96780303,1,0.14271163,-1.2242151,-0.3584837,0.5046787,0.30884105
165,Neptis_sappho,Neptis_sappho,255,Neptis_sappho,LC,0,0,104,98.21780303,0.5,0.63094972,-1.338825,-0.3064152,0.87209794,-0.4506802
