ID	Species	Family	Species	Binomial name / synonyms
120	Aglais io	Nymphalidae	"Aglais io (Linnaeus, 1758)"	"Nymphalis, Inachis, Papilio"
121	Aglais urticae	Nymphalidae	"Aglais urticae (Linnaeus, 1758)"	
235	Anthocharis cardamines	Pieridae	"Anthocharis cardamines (Linnaeus, 1758)"	
44	Anthocharis damone	Pieridae	"Anthocharis damone Boisduval, 1836"	
45	Anthocharis euphenoides	Pieridae	"Anthocharis euphenoides Staudinger, 1869"	
360	Anthocharis gruneri	Pieridae	"Anthocharis gruneri Herrich-Schäffer, 1851"	
242	Apatura ilia	Nymphalidae	"Apatura ilia (Denis & Schiffermüller, 1775)"	
243	Apatura iris	Nymphalidae	"Apatura iris (Linnaeus, 1758)"	
244	Apatura metis	Nymphalidae	"Apatura metis Freyer, 1829"	
245	Aphantopus hyperantus	Nymphalidae	"Aphantopus hyperantus (Linnaeus, 1758)"	
135	Aporia crataegi	Pieridae	"Aporia crataegi (Linnaeus, 1758)"	
122	Araschnia levana	Nymphalidae	"Araschnia levana (Linnaeus, 1758)"	
304	Archon apollinus	Papilionidae	"Archon apollinus (Herbst, 1798)"	
246	Arethusana arethusa	Nymphalidae	"Arethusana arethusa (Denis & Schiffermüller, 1775)"	
247	Argynnis adippe	Nymphalidae	"Argynnis adippe (Denis & Schiffermüller, 1775)"	
248	Argynnis aglaja	Nymphalidae	"Argynnis aglaja (Linnaeus, 1758)"	
18	Argynnis elisa	Nymphalidae	"Argynnis elisa Godart, 1823"	
249	Argynnis laodice	Nymphalidae	"Argynnis laodice (Pallas, 1771)"	
250	Argynnis niobe	Nymphalidae	"Argynnis niobe (Linnaeus, 1758)"	
251	Argynnis pandora	Nymphalidae	"Argynnis pandora (Denis & Schiffermüller, 1775)"	
252	Argynnis paphia	Nymphalidae	"Argynnis paphia (Linnaeus, 1758)"	
167	Aricia agestis	Lycaenidae	"Aricia agestis (Denis & Schiffermüller, 1775)"	Plebejus
333	Aricia anteros	Lycaenidae	"Aricia anteros (Freyer, 1838)"	"Plebejus, Plebejus anteros anteros, Ultraaricia anteros"
168	Aricia artaxerxes	Lycaenidae	"Aricia artaxerxes (Fabricius, 1793)"	Plebejus
10	Aricia cramera	Lycaenidae	"Aricia cramera (Eschscholtz, 1821)"	"Plebejus, Plebejus agestis cramera"
169	Aricia eumedon	Lycaenidae	"Aricia eumedon (Esper, 1780)"	"Plebejus, Plebejus eumedon eumedon"
371	Aricia montensis	Lycaenidae	"Aricia montensis Verity, 1928"	"Plebejus, Plebejus artaxerxes montenis"
372	Aricia morronensis	Lycaenidae	"Aricia morronensis Ribbe, 1910"	Plebejus
170	Aricia nicias	Lycaenidae	"Aricia nicias (Meigen, 1830)"	Plebejus
212	Boloria aquilonaris	Nymphalidae	"Boloria aquilonaris (Stichel, 1908)"	Clossiana
314	Boloria chariclea	Nymphalidae	"Boloria chariclea (Schneider, 1794)"	Clossiana
123	Boloria dia	Nymphalidae	"Boloria dia (Linnaeus, 1767)"	Clossiana
213	Boloria eunomia	Nymphalidae	"Boloria eunomia (Esper, 1799)"	Clossiana
214	Boloria euphrosyne	Nymphalidae	"Boloria euphrosyne (Linnaeus, 1758)"	Clossiana
315	Boloria freija	Nymphalidae	"Boloria freija (Becklin, 1791)"	Clossiana
