ID	Species	Family	Species	Binomial name / synonyms
316	Boloria frigga	Nymphalidae	"Boloria frigga (Becklin, 1791)"	Clossiana
394	Boloria graeca	Nymphalidae	"Boloria graeca (Staudinger, 1870)"	Clossiana
317	Boloria improba	Nymphalidae	"Boloria improba (Butler, 1877)"	"Clossiana, Boloria improba improbula"
62	Boloria napaea	Nymphalidae	"Boloria napaea (Hoffmannsegg, 1804)"	Clossiana
63	Boloria pales	Nymphalidae	"Boloria pales (Denis & Schiffermüller, 1775)"	Clossiana
318	Boloria polaris	Nymphalidae	"Boloria polaris (Boisduval, 1828)"	Clossiana
215	Boloria selene	Nymphalidae	"Boloria selene (Denis & Schiffermüller, 1775)"	Clossiana
64	Boloria thore	Nymphalidae	"Boloria thore (Hübner, 1803)"	Clossiana
65	Boloria titania	Nymphalidae	"Boloria titania (Esper, 1793)"	Clossiana
1	Borbo borbonica	Hesperiidae	"Borbo borbonica (Boisduval, 1833)"	"Clossiana, subspecies zelleri (Lederer 1855)"
253	Brenthis daphne	Nymphalidae	"Brenthis daphne (Bergsträsser, 1780)"	
254	Brenthis hecate	Nymphalidae	"Brenthis hecate (Denis & Schiffermüller, 1775)"	
255	Brenthis ino	Nymphalidae	"Brenthis ino (Rottemburg, 1775)"	
256	Brintesia circe	Nymphalidae	"Brintesia circe (Fabricius, 1775)"	
114	Cacyreus marshalli	Lycaenidae	"Cacyreus marshalli Butler, 1898"	
11	Callophrys avis	Lycaenidae	"Callophrys avis Chapman, 1909"	
171	Callophrys rubi	Lycaenidae	"Callophrys rubi (Linnaeus, 1758)"	
112	Carcharodus alceae	Hesperiidae	"Carcharodus alceae (Esper, 1780)"	
2	Carcharodus baeticus	Hesperiidae	"Carcharodus baeticus (Rambur, 1839)"	"subsp. baeticis multivoltine, subsp. octodurensis univoltine"
151	Carcharodus flocciferus	Hesperiidae	"Carcharodus flocciferus (Zeller, 1847)"	
152	Carcharodus lavatherae	Hesperiidae	"Carcharodus lavatherae (Esper, 1783)"	
3	Carcharodus orientalis	Hesperiidae	"Carcharodus orientalis Reverdin, 1913"	
4	Carcharodus stauderi	Hesperiidae	"Carcharodus stauderi Reverdin, 1913"	C stauderi ambiguus
153	Carterocephalus palaemon	Hesperiidae	"Carterocephalus palaemon (Pallas, 1771)"	
154	Carterocephalus silvicolus	Hesperiidae	"Carterocephalus silvicolus (Meigen, 1829)"	
115	Celastrina argiolus	Lycaenidae	"Celastrina argiolus (Linnaeus, 1758)"	
257	Charaxes jasius	Nymphalidae	"Charaxes jasius (Linnaeus, 1767)"	
258	Chazara briseis	Nymphalidae	"Chazara briseis (Linnaeus, 1764)"	
350	Chazara prieuri	Nymphalidae	"Chazara prieuri (Pierret, 1837)"	
172	Chilades trochylus	Lycaenidae	"Chilades trochylus (Freyer, 1845)"	
259	Coenonympha arcania	Nymphalidae	"Coenonympha arcania (Linnaeus, 1761)"	
19	Coenonympha corinna	Nymphalidae	"Coenonympha corinna (Hübner, 1806)"	
20	Coenonympha dorus	Nymphalidae	"Coenonympha dorus (Esper, 1782)"	
66	Coenonympha gardetta	Nymphalidae	"Coenonympha gardetta (De Prunner, 1798)"	
216	Coenonympha glycerion	Nymphalidae	"Coenonympha glycerion (Borkhausen, 1788)"	
217	Coenonympha hero	Nymphalidae	"Coenonympha hero (Linnaeus, 1761)"	
351	Coenonympha leander	Nymphalidae	"Coenonympha leander (Esper, 1784)"	
218	Coenonympha oedippus	Nymphalidae	"Coenonympha oedippus (Fabricius, 1787)"	
219	Coenonympha orientalis	Nymphalidae	"Coenonympha orientalis Rebel, 1910"	tax status requires investigation> leander & orientalis & gardetta very similar (http://www.lepiforum.de/lepiwiki.pl?Coenonympha_Orientalis)
220	Coenonympha pamphilus	Nymphalidae	"Coenonympha pamphilus (Linnaeus, 1758)"	
221	Coenonympha rhodopensis	Nymphalidae	"Coenonympha rhodopensis Elwes, 1900"	
395	Coenonympha thyrsis	Nymphalidae	"Coenonympha thyrsis (Freyer, 1845)"	
222	Coenonympha tullia	Nymphalidae	"Coenonympha tullia (Müller, 1764)"	
236	Colias alfacariensis	Pieridae	"Colias alfacariensis Ribbe, 1905"	
46	Colias aurorina	Pieridae	"Colias aurorina Herrich-Schäffer, 1850"	
361	Colias caucasica	Pieridae	"Colias caucasica Staudinger, 1871"	C. caucasica balcanica (Rebel 1903)
362	Colias chrysotheme	Pieridae	"Colias chrysotheme (Esper, 1781)"	
136	Colias crocea	Pieridae	"Colias crocea (Geoffroy, 1785)"	
137	Colias erate	Pieridae	"Colias erate (Esper, 1805)"	
326	Colias hecla	Pieridae	"Colias hecla Lefèbvre, 1836"	
138	Colias hyale	Pieridae	"Colias hyale (Linnaeus, 1758)"	
139	Colias myrmidone	Pieridae	"Colias myrmidone (Esper, 1781)"	
237	Colias palaeno	Pieridae	"Colias palaeno (Linnaeus, 1761)"	
108	Colias phicomone	Pieridae	"Colias phicomone (Esper, 1780)"	
327	Colias tyche	Pieridae	"Colias tyche de Böber, 1812"	"C. tyche werdani>N Europe, while C. tyche tyche Russia, Collins refers to C. nastes werdandi (Zetterstedt 1840)"
238	Colotis evagore	Pieridae	"Colotis evagore (Klug, 1829)"	
173	Cupido alcetas	Lycaenidae	"Cupido alcetas (Hoffmannsegg, 1804)"	
174	Cupido argiades	Lycaenidae	"Cupido argiades (Pallas, 1771)"	
175	Cupido decolorata	Lycaenidae	"Cupido decoloratus (Staudinger, 1886)"	"Cupido decolorata (STAUDINGER, 1886)"
373	Cupido lorquinii	Lycaenidae	"Cupido lorquinii (Herrich-Schäffer, 1847)"	
176	Cupido minimus	Lycaenidae	"Cupido minimus (Fuessly, 1775)"	
177	Cupido osiris	Lycaenidae	"Cupido osiris (Meigen, 1829)"	
178	Cyaniris semiargus	Lycaenidae	"Cyaniris semiargus (Rottemburg, 1775)"	Polyommatus
124	Danaus chrysippus	Nymphalidae	"Danaus chrysippus (Linnaeus, 1758)"	
125	Danaus plexippus	Nymphalidae	"Danaus plexippus (Linnaeus, 1758)"	
67	Erebia aethiopellus	Nymphalidae	"Erebia aethiopella (Hoffmannsegg, 1806)"	"E. aethiopellus (HOFFMANNSEGG, 1806)"
68	Erebia aethiops	Nymphalidae	"Erebia aethiops (Esper, 1777)"	
69	Erebia alberganus	Nymphalidae	"Erebia alberganus (De Prunner, 1798)"	
70	Erebia calcaria	Nymphalidae	"Erebia calcaria Lorkovic, 1953"	
71	Erebia cassioides	Nymphalidae	"Erebia cassioides (Reiner & Hohenwarth, 1792)"	
72	Erebia christi	Nymphalidae	"Erebia christi Rätzer, 1890"	
73	Erebia claudina	Nymphalidae	"Erebia claudina (Borkhausen, 1789)"	
319	Erebia disa	Nymphalidae	"Erebia disa (Thunberg, 1791)"	
320	Erebia embla	Nymphalidae	"Erebia embla (Thunberg, 1791)"	
74	Erebia epiphron	Nymphalidae	"Erebia epiphron (Knoch, 1783)"	
260	Erebia epistygne	Nymphalidae	"Erebia epistygne (Hübner, 1819)"	
75	Erebia eriphyle	Nymphalidae	"Erebia eriphyle (Freyer, 1836)"	
76	Erebia euryale	Nymphalidae	"Erebia euryale (Esper, 1805)"	
77	Erebia flavofasciata	Nymphalidae	"Erebia flavofasciata Heyne, 1895"	
78	Erebia gorge	Nymphalidae	"Erebia gorge (Hübner, 1804)"	
79	Erebia gorgone	Nymphalidae	"Erebia gorgone Boisduval, 1833"	
21	Erebia hispania	Nymphalidae	"Erebia hispania Butler, 1868"	
80	Erebia lefebvrei	Nymphalidae	"Erebia lefebvrei (Boisduval, 1828)"	
261	Erebia ligea	Nymphalidae	"Erebia ligea (Linnaeus, 1758)"	
81	Erebia manto	Nymphalidae	"Erebia manto (Denis & Schiffermüller, 1775)"	
262	Erebia medusa	Nymphalidae	"Erebia medusa (Denis & Schiffermüller, 1775)"	
82	Erebia melampus	Nymphalidae	"Erebia melampus (Fuessly, 1775)"	
263	Erebia melas	Nymphalidae	"Erebia melas (Herbst, 1796)"	
83	Erebia meolans	Nymphalidae	"Erebia meolans (de Prunner, 1798)"	
84	Erebia mnestra	Nymphalidae	"Erebia mnestra (Hübner, 1804)"	
85	Erebia montana	Nymphalidae	"Erebia montana (de Prunner, 1798)"	
86	Erebia neoridas	Nymphalidae	"Erebia neoridas (Boisduval, 1828)"	
87	Erebia nivalis	Nymphalidae	"Erebia nivalis Lorkovic & De Lesse, 1954)"	
88	Erebia oeme	Nymphalidae	"Erebia oeme (Hübner, 1804)"	
352	Erebia orientalis	Nymphalidae	"Erebia orientalis Elwes, 1900"	
264	Erebia ottomana	Nymphalidae	"Erebia ottomana Herrich-Schäffer, 1847"	
89	Erebia palarica	Nymphalidae	"Erebia palarica Chapman, 1905"	
90	Erebia pandrose	Nymphalidae	"Erebia pandrose (Borkhausen, 1788)"	
91	Erebia pharte	Nymphalidae	"Erebia pharte (Hübner, 1804)"	
92	Erebia pluto	Nymphalidae	"Erebia pluto (De Prunner, 1798)"	
321	Erebia polaris	Nymphalidae	"Erebia polaris Staudinger, 1871"	
93	Erebia pronoe	Nymphalidae	"Erebia pronoe (Esper, 1780)"	
353	Erebia rhodopensis	Nymphalidae	"Erebia rhodopensis Nicholl, 1900"	
94	Erebia scipio	Nymphalidae	"Erebia scipio Boisduval, 1832"	
95	Erebia sthennyo	Nymphalidae	"Erebia sthennyo Graslin, 1850"	
96	Erebia stiria	Nymphalidae	"Erebia stiria (Godart, 1824)"	
97	Erebia styx	Nymphalidae	"Erebia styx (Freyer, 1834)"	
98	Erebia sudetica	Nymphalidae	"Erebia sudetica Staudinger, 1861"	
99	Erebia triaria	Nymphalidae	"Erebia triaria (de Prunner, 1798)"	
100	Erebia tyndarus	Nymphalidae	"Erebia tyndarus (Esper, 1781)"	
354	Erebia zapateri	Nymphalidae	"Erebia zapateri Oberthür, 1875"	
113	Erynnis marloyi	Hesperiidae	"Erynnis marloyi (Boisduval, 1834)"	
155	Erynnis tages	Hesperiidae	"Erynnis tages (Linnaeus, 1758)"	
47	Euchloe ausonia	Pieridae	"Euchloe ausonia (Hübner, 1804)"	
363	Euchloe bazae	Pieridae	"Euchloe bazae (Fabiano, 1993)"	
48	Euchloe belemia	Pieridae	"Euchloe belemia (Esper, 1800)"	
49	Euchloe crameri	Pieridae	"Euchloe crameri Butler, 1869"	E. crameri crameri
50	Euchloe insularis	Pieridae	"Euchloe insularis (Staudinger, 1861)"	
364	Euchloe penia	Pieridae	"Euchloe penia (Freyer, 1852)"	
109	Euchloe simplonia	Pieridae	"Euchloe simplonia (Freyer, 1829)"	
51	Euchloe tagis	Pieridae	"Euchloe tagis (Hübner, 1804)"	
223	Euphydryas aurinia	Nymphalidae	"Euphydryas aurinia (Rottemburg, 1775)"	
101	Euphydryas cynthia	Nymphalidae	"Euphydryas cynthia (Denis & Schiffermüller, 1775)"	
22	Euphydryas desfontainii	Nymphalidae	"Euphydryas desfontainii (Godart, 1819)"	
322	Euphydryas iduna	Nymphalidae	"Euphydryas iduna (Dalman, 1816)"	
102	Euphydryas intermedia	Nymphalidae	"Euphydryas intermedia (Ménétriés, 1859)"	
224	Euphydryas maturna	Nymphalidae	"Euphydryas maturna (Linnaeus, 1758)"	
179	Favonius quercus	Lycaenidae	"Favonius quercus (Linnaeus, 1758)"	
5	Gegenes nostrodamus	Hesperiidae	"Gegenes nostrodamus (Fabricius, 1793)"	
6	Gegenes pumilio	Hesperiidae	"Gegenes pumilio (Hoffmannsegg, 1804)"	
180	Glaucopsyche alexis	Lycaenidae	"Glaucopsyche alexis (Poda, 1761)"	
12	Glaucopsyche melanops	Lycaenidae	"Glaucopsyche melanops (Boisduval, 1828)"	
52	Gonepteryx cleopatra	Pieridae	"Gonepteryx cleopatra (Linnaeus, 1767)"	
53	Gonepteryx farinosa	Pieridae	"Gonepteryx farinosa (Zeller, 1847)"	
140	Gonepteryx rhamni	Pieridae	"Gonepteryx rhamni (Linnaeus, 1758)"	
240	Hamearis lucina	Riodinidae	"Hamearis lucina (Linnaeus, 1758)"	
156	Hesperia comma	Hesperiidae	"Hesperia comma (Linnaeus, 1758)"	
241	Heteropterus morpheus	Hesperiidae	"Heteropterus morpheus (Pallas, 1771)"	
23	Hipparchia aristaeus	Nymphalidae	"Hipparchia aristaeus (Bonelli, 1826)"	
265	Hipparchia blachieri	Nymphalidae	"Hipparchia blachieri (Frühstorfer, 1908) (syn Hipparchia neapolitana Stauder, 1921)"	H aristaeus blachieri
24	Hipparchia christenseni	Nymphalidae	"Hipparchia christenseni Kudrna, 1977"	
25	Hipparchia cretica	Nymphalidae	"Hipparchia cretica (Rebel, 1916)"	
266	Hipparchia fagi	Nymphalidae	"Hipparchia fagi (Scopoli, 1763)"	
267	Hipparchia fatua	Nymphalidae	"Hipparchia fatua Freyer, 1844"	
268	Hipparchia fidia	Nymphalidae	"Hipparchia fidia (Linnaeus, 1767)"	
269	Hipparchia hermione	Nymphalidae	"Hipparchia hermione (Linnaeus, 1764)"	
270	Hipparchia leighebi	Nymphalidae	"Hipparchia leighebi Kudrna, 1976"	H semele leighebi
271	Hipparchia mersina	Nymphalidae	"Hipparchia mersina (Staudinger, 1871)"	
26	Hipparchia neomiris	Nymphalidae	"Hipparchia neomiris (Godart, 1822)"	
27	Hipparchia pellucida	Nymphalidae	"Hipparchia pellucida (Stauder, 1923)"	
272	Hipparchia semele	Nymphalidae	"Hipparchia semele (Linnaeus, 1758)"	
273	Hipparchia senthes	Nymphalidae	"Hipparchia senthes (Fruhstorfer, 1908)"	
274	Hipparchia statilinus	Nymphalidae	"Hipparchia statilinus (Hufnagel, 1766)"	
275	Hipparchia syriaca	Nymphalidae	"Hipparchia syriaca (Staudinger, 1871)"	
276	Hipparchia volgensis	Nymphalidae	"Hipparchia volgensis (Mazochin-Porshnjakov, 1952)"	
277	Hyponephele lupina	Nymphalidae	"Hyponephele lupina (Costa, 1836)"	Hyponephele lupinus
278	Hyponephele lycaon	Nymphalidae	"Hyponephele lycaon (Kühn, 1774)"	
334	Iolana iolas	Lycaenidae	"Iolana iolas (Ochsenheimer, 1816)"	Glaucopsyche iolas
305	Iphiclides podalirius	Papilionidae	"Iphiclides podalirius (Linnaeus, 1758)"	
126	Issoria lathonia	Nymphalidae	"Issoria lathonia (Linnaeus, 1758)"	
355	Kirinia climene	Nymphalidae	"Kirinia climene (Esper, 1783)"	
279	Kirinia roxelana	Nymphalidae	"Kirinia roxelana (Cramer, 1777)"	
13	Laeosopis roboris	Lycaenidae	"Laeosopis roboris (Esper, 1789)"	
116	Lampides boeticus	Lycaenidae	"Lampides boeticus (Linnaeus, 1767)"	
280	Lasiommata maera	Nymphalidae	"Lasiommata maera (Linnaeus, 1758)"	
28	Lasiommata megera	Nymphalidae	"Lasiommata megera (Linnaeus, 1767)"	
29	Lasiommata paramegaera	Nymphalidae	"Lasiommata paramegaera (Hübner, 1824)"	
225	Lasiommata petropolitana	Nymphalidae	"Lasiommata petropolitana (Fabricius, 1787)"	
141	Leptidea duponcheli	Pieridae	"Leptidea duponcheli (Staudinger, 1871)"	
142	Leptidea morsei	Pieridae	"Leptidea morsei (Fenton, 1881)"	
239	Leptidea sinapis	Pieridae	"Leptidea sinapis (Linnaeus, 1758)"	
117	Leptotes pirithous	Lycaenidae	"Leptotes pirithous (Linnaeus, 1767)"	
30	Libythea celtis	Nymphalidae	"Libythea celtis (Laicharting, 1782)"	
281	Limenitis camilla	Nymphalidae	"Limenitis camilla (Linnaeus, 1764)"	
282	Limenitis populi	Nymphalidae	"Limenitis populi (Linnaeus, 1758)"	
31	Limenitis reducta	Nymphalidae	"Limenitis reducta Staudinger, 1901"	
283	Lopinga achine	Nymphalidae	"Lopinga achine (Scopoli, 1763)"	
181	Lycaena alciphron	Lycaenidae	"Lycaena alciphron (Rottemburg, 1775)"	
335	Lycaena dispar	Lycaenidae	"Lycaena dispar (Haworth, 1802)"	
182	Lycaena helle	Lycaenidae	"Lycaena helle (Denis & Schiffermüller, 1775)"	
183	Lycaena hippothoe	Lycaenidae	"Lycaena hippothoe (Linnaeus, 1761)"	
14	Lycaena ottomana	Lycaenidae	"Lycaena ottomana (Lefèbvre, 1830)"	
184	Lycaena phlaeas	Lycaenidae	"Lycaena phlaeas (Linnaeus, 1761)"	
118	Lycaena thersamon	Lycaenidae	"Lycaena thersamon (Esper, 1784)"	
374	Lycaena thetis	Lycaenidae	"Lycaena thetis Klug, 1834"	
185	Lycaena tityrus	Lycaenidae	"Lycaena tityrus (Poda, 1761)"	
186	Lycaena virgaureae	Lycaenidae	"Lycaena virgaureae (Linnaeus, 1758)"	
32	Maniola chia	Nymphalidae	"Maniola chia Thomson, 1987"	Maniola jurtina chia
226	Maniola jurtina	Nymphalidae	"Maniola jurtina (Linnaeus, 1758)"	
33	Maniola megala	Nymphalidae	"Maniola megala (Oberthür, 1909)"	
34	Maniola nurag	Nymphalidae	"Maniola nurag Ghiliani, 1852"	
35	Maniola telmessia	Nymphalidae	"Maniola telmessia (Zeller, 1847)"	
284	Melanargia arge	Nymphalidae	"Melanargia arge (Sulzer, 1776)"	
285	Melanargia galathea	Nymphalidae	"Melanargia galathea (Linnaeus, 1758)"	
286	Melanargia ines	Nymphalidae	"Melanargia ines (Hoffmannsegg, 1804)"	
287	Melanargia lachesis	Nymphalidae	"Melanargia lachesis (Hübner, 1790)"	
288	Melanargia larissa	Nymphalidae	"Melanargia larissa (Geyer, 1828)"	
289	Melanargia occitanica	Nymphalidae	"Melanargia occitanica (Esper, 1793)"	
290	Melanargia pherusa	Nymphalidae	"Melanargia pherusa (Boisduval, 1833)"	Melargia occitanica pherusa
291	Melanargia russiae	Nymphalidae	"Melanargia russiae (Esper, 1783)"	
36	Melitaea aetherie	Nymphalidae	"Melitaea aetherie (Hübner, 1826)"	
356	Melitaea arduinna	Nymphalidae	"Melitaea arduinna (Esper, 1783)"	
103	Melitaea asteria	Nymphalidae	"Melitaea asteria Freyer, 1828"	
227	Melitaea athalia	Nymphalidae	"Melitaea athalia (Rottemburg, 1775)"	
228	Melitaea aurelia	Nymphalidae	"Melitaea aurelia Nickerl, 1850"	
357	Melitaea britomartis	Nymphalidae	"Melitaea britomartis Assmann, 1847"	
229	Melitaea cinxia	Nymphalidae	"Melitaea cinxia (Linnaeus, 1758)"	
37	Melitaea deione	Nymphalidae	"Melitaea deione (Geyer, 1832)"	
230	Melitaea diamina	Nymphalidae	"Melitaea diamina (Lang, 1789)"	
231	Melitaea didyma	Nymphalidae	"Melitaea didyma (Esper, 1778)"	
232	Melitaea parthenoides	Nymphalidae	"Melitaea parthenoides Keferstein, 1851"	
233	Melitaea phoebe	Nymphalidae	"Melitaea phoebe (Denis & Schiffermüller, 1775)"	
358	Melitaea trivia	Nymphalidae	"Melitaea trivia (Denis & Schiffermüller, 1775)"	
104	Melitaea varia	Nymphalidae	"Melitaea varia Meyer-Dür, 1851"	
292	Minois dryas	Nymphalidae	"Minois dryas (Scopoli, 1763)"	
328	Muschampia cribrellum	Hesperiidae	"Muschampia cribrellum (Eversmann, 1841)"	
7	Muschampia proto	Hesperiidae	"Muschampia proto (Ochsenheimer, 1808)"	
329	Muschampia tessellum	Hesperiidae	"Muschampia tessellum (Hübner, 1803)"	
293	Neptis rivularis	Nymphalidae	"Neptis rivularis (Scopoli, 1763)"	
294	Neptis sappho	Nymphalidae	"Neptis sappho (Pallas, 1771)"	
127	Nymphalis antiopa	Nymphalidae	"Nymphalis antiopa (Linnaeus, 1758)"	
128	Nymphalis polychloros	Nymphalidae	"Nymphalis polychloros (Linnaeus, 1758)"	
295	Nymphalis vaualbum	Nymphalidae	"Nymphalis vaualbum (Denis & Schiffermüller, 1775)"	
129	Nymphalis xanthomelas	Nymphalidae	"Nymphalis xanthomelas (Esper, 1781)"	
157	Ochlodes sylvanus	Hesperiidae	"Ochlodes sylvanus (Esper, 1777)"	
323	Oeneis bore	Nymphalidae	"Oeneis bore (Schneider, 1792)"	
105	Oeneis glacialis	Nymphalidae	"Oeneis glacialis (Moll, 1783)"	
324	Oeneis jutta	Nymphalidae	"Oeneis jutta (Hübner, 1806)"	
325	Oeneis norna	Nymphalidae	"Oeneis norna (Thunberg, 1791)"	
306	Papilio alexanor	Papilionidae	"Papilio alexanor Esper, 1800"	
307	Papilio hospiton	Papilionidae	"Papilio hospiton Guenée, 1839"	
134	Papilio machaon	Papilionidae	"Papilio machaon Linnaeus, 1758"	
130	Pararge aegeria	Nymphalidae	"Pararge aegeria (Linnaeus, 1758)"	
308	Parnassius apollo	Papilionidae	"Parnassius apollo (Linnaeus, 1758)"	
309	Parnassius mnemosyne	Papilionidae	"Parnassius mnemosyne (Linnaeus, 1758)"	
107	Parnassius phoebus	Papilionidae	"Parnassius phoebus (Fabricius, 1793)"	
8	Pelopidas thrax	Hesperiidae	"Pelopidas thrax (Hübner, 1821)"	
187	Phengaris alcon	Lycaenidae	"Phengaris alcon (Denis & Schiffermüller, 1775)"	"Maculinea, Glaucopsyche"
188	Phengaris arion	Lycaenidae	"Phengaris arion (Linnaeus, 1758)"	"Maculinea, Glaucopsyche"
375	Phengaris nausithous	Lycaenidae	"Phengaris nausithous (Bergsträsser, 1779)"	"Maculinea, Glaucopsyche"
376	Phengaris teleius	Lycaenidae	"Phengaris teleius (Bergsträsser, 1779)"	"Maculinea, Glaucopsyche"
143	Pieris brassicae	Pieridae	"Pieris brassicae (Linnaeus, 1758)"	
110	Pieris bryoniae	Pieridae	"Pieris bryoniae (Hübner, 1805)"	Artogeia
144	Pieris ergane	Pieridae	"Pieris ergane (Geyer, 1828)"	Artogeia
145	Pieris krueperi	Pieridae	"Pieris krueperi Staudinger, 1860"	Artogeia
146	Pieris mannii	Pieridae	"Pieris mannii (Mayer, 1851)"	Artogeia
147	Pieris napi	Pieridae	"Pieris napi (Linnaeus, 1758)"	Artogeia
148	Pieris rapae	Pieridae	"Pieris rapae (Linnaeus, 1758)"	Artogeia
313	Agriades aquilo	Lycaenidae	"Plebejus aquilo (Boisduval, 1832)"	Agriades glandon aquilo
189	Plebejus argus	Lycaenidae	"Plebejus argus (Linnaeus, 1758)"	
190	Plebejus argyrognomon	Lycaenidae	"Plebejus argyrognomon (Bergsträsser, 1779)"	Polyommatus
377	Plebejus bellieri	Lycaenidae	"Plebejus bellieri (Oberthür, 1910)"	
336	Plebejus dardanus	Lycaenidae	"Plebejus dardanus (Freyer, 1844)"	Agriades
378	Plebejus eurypilus	Lycaenidae	"Plebejus eurypilus (Freyer, 1851)"	Kretania
58	Plebejus glandon	Lycaenidae	"Plebejus glandon (de Prunner, 1798)"	Agriades
337	Plebejus hespericus	Lycaenidae	"Plebejus hespericus (Rambur, 1839)"	Polyommatus
191	Plebejus idas	Lycaenidae	"Plebejus idas (Linnaeus, 1761)"	"Papilio, Lycaeides"
379	Plebejus loewii	Lycaenidae	"Plebejus loewii (Zeller, 1847)"	Polyommatus
192	Plebejus optilete	Lycaenidae	"Plebejus optilete (Knoch, 1781)"	"Albuina, Vacciniina"
59	Plebejus orbitulus	Lycaenidae	"Plebejus orbitulus (de Prunner, 1798)"	Albulina
380	Plebejus psyloritus	Lycaenidae	"Plebejus psyloritus (Freyer, 1845)"	Kretania
338	Plebejus pylaon	Lycaenidae	"Plebejus pylaon (Fischer, 1832)"	"Polyommatus, Albulina, Lyaena"
381	Plebejus pyrenaicus	Lycaenidae	"Plebejus pyrenaicus (Boisduval, 1840)"	Agriades
60	Plebejus trappi	Lycaenidae	"Plebejus trappi (Verity, 1927)"	Plebejeus sephirus trappi
339	Plebejus zullichi	Lycaenidae	"Plebejus zullichi (Hemming, 1933)"	Agriades
397	Polygonia c-album	Nymphalidae	"Polygonia c-album (Linnaeus, 1758)"	Nymphalis c-album
38	Polygonia egea	Nymphalidae	"Polygonia egea (Cramer, 1775)"	Nymphalis egea
340	Polyommatus admetus	Lycaenidae	"Polyommatus admetus (Esper, 1783)"	
341	Polyommatus albicans	Lycaenidae	"Polyommatus albicans (Gerhard, 1851)"	Lysandra
193	Polyommatus amandus	Lycaenidae	"Polyommatus amandus (Schneider, 1792)"	
342	Polyommatus aroaniensis	Lycaenidae	"Polyommatus aroaniensis (Brown, 1976)"	Agrodiaetus
194	Polyommatus bellargus	Lycaenidae	"Polyommatus bellargus (Rottemburg, 1775)"	
382	Polyommatus coelestinus	Lycaenidae	"Polyommatus coelestinus (Eversmann, 1843)"	Neolysandra coelestina
383	Polyommatus coridon	Lycaenidae	"Polyommatus coridon (Poda, 1761)"	
